#  FirstLayer_H  LastLayer_H NHits_H  AverageZP_H Thrust_H  PID_Angle_H  PID_Front_H  PID_LLR_M_H  FirstLayer_L  LastLayer_L  NHits_L  AverageZP_L  Thrust_L  PID_Angle_L  PID_Front_L  PID_LLR_M_L  Energy_As  Angle_Bet  Distance_Bet   Sig   Bg
6.139990949156156133e-03 1.057442885688004638e-02 3.752216691150984159e-03 7.800889541968250018e-01 3.356876659469759357e-04 1.549731327792755811e-02 1.404098485689579809e-03 3.665696373133383538e-03 4.093327299437437422e-03 1.057442885688004638e-02 3.411106082864531330e-03 6.119524312658969345e-01 3.116917626522137420e-04 1.549731327792755811e-02 1.404098485689579809e-03 1.763497943905675998e-03 1.564663444670495458e-04 4.635775033158886517e-04 1.271627532851380138e-01 0.000000000000000000e+00 1.000000000000000000e+00
9.858495174901461475e-03 1.910083440137158237e-02 6.777715432744754222e-03 6.708257404989986794e-01 4.622639145172068920e-04 4.061000366979958948e-02 4.903925611284832599e-03 3.824257108306787761e-03 4.929247587450730737e-03 1.232311896862682728e-02 4.929247587450730737e-03 7.199782257420223042e-01 6.087037270818487647e-04 4.061000366979958948e-02 4.903925611284832599e-03 8.596355168575216255e-03 8.733178758483879840e-05 5.839882948315862484e-04 1.657705039425758087e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.496795137370539752e-04 2.247115623633485614e-03 2.496795137370539427e-03 4.384372261222667655e-01 2.490643034152058418e-04 1.504690693253996417e-02 2.040722897385316686e-03 1.666223376429272181e-03 9.987180549482159008e-04 4.743910761004025041e-03 2.746474651107593673e-03 1.115840417790741473e-01 2.409480713339609526e-04 1.504690693253996417e-02 2.040722897385316686e-03 6.109271197258445141e-03 1.130473434988231663e-04 4.550475302928948642e-04 8.915031250184848322e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.535394524196605236e-03 1.183184111291749052e-02 1.225440686695025878e-02 6.680036067898103003e-01 3.777758546774889455e-04 1.095348537244113067e-02 2.051326014927384433e-03 9.962884758418307299e-03 3.380526032262140459e-03 1.267697262098302705e-02 6.338486310491513523e-03 7.307570298884742410e-01 3.860110696315319462e-04 1.095348537244113067e-02 2.051326014927384433e-03 8.185115558244868486e-03 5.199202555386228235e-05 3.620854811513474431e-04 1.372639396540145662e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.301804343451245051e-03 7.826134767734232306e-03 6.445052161663486143e-03 7.153448560991011451e-01 2.268347387138746880e-04 7.531865655415264163e-03 4.290618539497363670e-05 2.696702126794175026e-03 2.531984777796369556e-03 3.913067383867116153e-03 1.841443474760996041e-03 6.954757960966471142e-01 2.148737346957383569e-04 7.531865655415264163e-03 4.290618539497363670e-05 6.304540356960979842e-03 3.841964647697907710e-06 2.654712611960937047e-04 6.558433749471904994e-02 0.000000000000000000e+00 1.000000000000000000e+00
5.548661478933345978e-03 1.011814740276080829e-02 5.222269627231384756e-03 7.852987951949195189e-01 3.247192240187296792e-04 1.935483085266789458e-02 9.845904938431755855e-04 6.209629131626844337e-04 3.590310368721576911e-03 9.791755551058847068e-03 2.937526665317654034e-03 6.057832767588406941e-01 3.239661074601125532e-04 1.935483085266789458e-02 9.845904938431755855e-04 -4.347350157396140218e-03 1.806151978628330968e-04 2.591389085763279006e-04 1.236278137558629170e-01 0.000000000000000000e+00 1.000000000000000000e+00
1.546372427946368948e-03 1.340189437553519596e-02 7.731862139731844087e-03 6.542873389980589094e-01 5.092122962946187123e-04 2.378697490504963138e-02 9.006192606494080322e-03 1.066174872154550604e-02 6.700947187767597978e-03 8.247319615713967142e-03 3.092744855892737895e-03 6.010234169951553795e-01 4.464114831625892212e-04 2.378697490504963138e-02 9.006192606494080322e-03 1.145864907215872431e-03 1.760738821227910247e-04 4.436067759442752310e-04 4.570614016196034024e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.730855500674071019e-04 3.550112150876292595e-03 2.730855500674071127e-03 6.024267234487000744e-01 2.655851188920307546e-04 1.993762864560170989e-02 3.429376386737140940e-04 6.376590195419765995e-03 2.730855500674071019e-04 1.092342200269628407e-03 1.638513300404442720e-03 7.855032489053348499e-01 2.717668472546866019e-04 1.993762864560170989e-02 3.429376386737140940e-04 -2.068102813787730827e-03 2.057059507228554593e-04 1.005973706435359767e-04 1.385720491785549513e-01 0.000000000000000000e+00 1.000000000000000000e+00
3.280908581249333301e-03 1.859181529374622291e-02 1.968545148749600154e-02 5.582405254186987298e-01 8.872701061705372131e-04 5.692917300929022095e-02 4.467919433221467806e-05 4.165856679053301509e-02 2.187272387499555534e-03 4.374544774999111069e-03 5.468180968748888836e-03 7.917926042748391069e-01 8.433270383603355767e-04 5.692917300929022095e-02 4.467919433221467806e-05 8.580722398788914046e-03 9.735166624092708894e-04 8.945434430406895608e-04 2.287794833157021368e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.882120460242760454e-04 1.464636138072828234e-02 9.764240920485521558e-03 6.312581755093888969e-01 4.810382093987907175e-04 3.930600455231543500e-02 1.514140839539689640e-06 9.386674811511957692e-03 9.764240920485520907e-04 8.787816828436968708e-03 5.370332506267036336e-03 5.395186893318085763e-01 4.745849737532372315e-04 3.930600455231543500e-02 1.514140839539689640e-06 2.395368562376377387e-03 3.329446508546513180e-04 1.050146405594834260e-03 5.539225069680721036e-01 0.000000000000000000e+00 1.000000000000000000e+00
