#     Row        sigBg  FirstLaye  LastLayer      NHits  AverageZP     Thrust  PID_Angle  PID_Front  PID_LLR_M  FirstLaye  LastLayer  NHits_Low  AverageZP  Thrust_Lo  PID_Angle  PID_Front  PID_LLR_M  Energy_As  Angle_Bet  Distance_ 
# 
1.000000000000000000e+01 -9.990000000000000000e+02 1.800000000000000000e+01 3.100000000000000000e+01 1.100000000000000000e+01 2.286909099999999853e+03 9.841020999999999797e-01 4.543193000000000126e+01 4.116255699999999962e+00 1.074635699999999972e+01 1.200000000000000000e+01 3.100000000000000000e+01 1.000000000000000000e+01 1.794000000000000000e+03 9.137556999999999485e-01 4.543193000000000126e+01 4.116255699999999962e+00 5.169871299999999614e+00 4.586968000000000156e-01 1.359024000000000010e+00 3.727903800000000274e+02
1.100000000000000000e+01 -9.990000000000000000e+02 1.600000000000000000e+01 3.100000000000000000e+01 1.100000000000000000e+01 1.088727200000000039e+03 7.502385000000000304e-01 6.590864500000000703e+01 7.958903300000000236e+00 6.206638299999999830e+00 8.000000000000000000e+00 2.000000000000000000e+01 8.000000000000000000e+00 1.168500000000000000e+03 9.879052999999999862e-01 6.590864500000000703e+01 7.958903300000000236e+00 1.395158999999999949e+01 1.417364999999999875e-01 9.477929999999999966e-01 2.690398500000000013e+02
1.200000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+01 1.756000000000000000e+03 9.975359999999999783e-01 6.026488400000000212e+01 8.173369400000000340e+00 6.673448500000000116e+00 4.000000000000000000e+00 1.900000000000000000e+01 1.100000000000000000e+01 4.469090800000000172e+02 9.650294000000000372e-01 6.026488400000000212e+01 8.173369400000000340e+00 2.446845199999999920e+01 4.527698000000000000e-01 1.822526499999999938e+00 3.570589800000000196e+03
1.300000000000000000e+01 -9.990000000000000000e+02 6.000000000000000000e+00 2.800000000000000000e+01 2.900000000000000000e+01 1.580827600000000075e+03 8.940048999999999912e-01 2.592137500000000117e+01 4.854453999999999603e+00 2.357712300000000027e+01 8.000000000000000000e+00 3.000000000000000000e+01 1.500000000000000000e+01 1.729333300000000008e+03 9.134934999999999583e-01 2.592137500000000117e+01 4.854453999999999603e+00 1.937003999999999948e+01 1.230389000000000066e-01 8.568736999999999604e-01 3.248345100000000230e+02
1.400000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+01 3.400000000000000000e+01 2.800000000000000000e+01 3.107757000000000062e+03 9.854648999999999770e-01 3.272157200000000188e+01 1.864023999999999959e-01 1.171560099999999949e+01 1.100000000000000000e+01 1.700000000000000000e+01 8.000000000000000000e+00 3.021437500000000000e+03 9.335012999999999783e-01 3.272157200000000188e+01 1.864023999999999959e-01 2.738955800000000096e+01 1.669110000000000038e-02 1.153318099999999902e+00 2.849257700000000000e+02
1.500000000000000000e+01 -9.990000000000000000e+02 1.700000000000000000e+01 3.100000000000000000e+01 1.600000000000000000e+01 2.406000000000000000e+03 9.948753999999999653e-01 5.929936899999999866e+01 3.016590299999999836e+00 1.902507399999999960e+00 1.100000000000000000e+01 3.000000000000000000e+01 9.000000000000000000e+00 1.856000000000000000e+03 9.925680000000000058e-01 5.929936899999999866e+01 3.016590299999999836e+00 -1.331941999999999915e+01 5.533692000000000055e-01 7.939502999999999977e-01 3.787711400000000026e+02
1.600000000000000000e+01 -9.990000000000000000e+02 3.000000000000000000e+00 2.600000000000000000e+01 1.500000000000000000e+01 1.269333300000000008e+03 9.878841999999999901e-01 4.614730800000000244e+01 1.747223200000000176e+01 2.068405100000000019e+01 1.300000000000000000e+01 1.600000000000000000e+01 6.000000000000000000e+00 1.166000000000000000e+03 8.660491000000000161e-01 4.614730800000000244e+01 1.747223200000000176e+01 2.223005699999999862e+00 3.415875999999999912e-01 8.606078999999999812e-01 8.867101999999999862e+02
1.700000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 1.300000000000000000e+01 1.000000000000000000e+01 2.206000000000000000e+03 9.725344999999999684e-01 7.300872800000000495e+01 1.255788300000000079e+00 2.335015599999999836e+01 1.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+00 2.876399899999999889e+03 9.951710999999999752e-01 7.300872800000000495e+01 1.255788300000000079e+00 -7.573095000000000354e+00 7.532655999999999796e-01 3.683731000000000089e-01 5.074309099999999830e+02
1.800000000000000000e+01 -9.990000000000000000e+02 3.000000000000000000e+00 1.700000000000000000e+01 1.800000000000000000e+01 5.104444500000000176e+02 8.113027999999999906e-01 5.205494600000000105e+01 4.085380000000000261e-02 3.809179600000000221e+01 2.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+00 7.240000000000000000e+02 7.711221000000000325e-01 5.205494600000000105e+01 4.085380000000000261e-02 7.846048299999999642e+00 8.901649999999999840e-01 8.179534000000000526e-01 2.091915799999999876e+02
1.900000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 3.000000000000000000e+01 2.000000000000000000e+01 1.293000000000000000e+03 9.853058999999999568e-01 8.051010800000000245e+01 3.101399999999999817e-03 1.922663500000000170e+01 2.000000000000000000e+00 1.800000000000000000e+01 1.100000000000000000e+01 1.105090899999999920e+03 9.720877999999999464e-01 8.051010800000000245e+01 3.101399999999999817e-03 4.906410199999999833e+00 6.819673000000000540e-01 2.151004700000000103e+00 1.134594100000000026e+03
